Date,SBIN.BO,TITAN.BO,RELIANCE.BO,ICICIBANK.BO,AXISBANK.BO,LT.BO,ULTRACEMCO.BO,ITC.BO,ONGC.BO,INFY.BO
2013-12-31,157.99461364746094,216.52288818359375,399.25384521484375,173.19305419921875,237.49166870117188,600.3551635742188,1657.37548828125,178.17857360839844,138.48570251464844,360.18084716796875
2014-01-07,154.86756896972656,211.86700439453125,417.7196350097656,171.14764404296875,226.21646118164062,572.9016723632812,1618.32373046875,182.3412322998047,145.48146057128906,384.2926330566406
2014-01-14,157.88514709472656,209.08306884765625,409.63641357421875,177.9519805908203,228.7947540283203,595.7894287109375,1666.146240234375,185.06947326660156,143.90179443359375,391.2516174316406
2014-01-21,151.92138671875,208.17108154296875,400.9842834472656,168.1125030517578,215.87442016601562,579.9122924804688,1661.981201171875,184.02879333496094,138.15975952148438,383.05810546875
2014-01-28,144.31080627441406,212.97096252441406,389.7009582519531,160.02154541015625,216.12454223632812,578.88134765625,1642.1368408203125,182.8193817138672,134.54901123046875,371.56219482421875
2014-02-04,144.54879760742188,222.4747314453125,381.8785400390625,159.85655212402344,215.99949645996094,584.2423706054688,1665.2642822265625,182.84750366210938,138.31019592285156,374.5989074707031
2014-02-11,142.69729614257812,219.40283203125,385.315673828125,171.18064880371094,224.08071899414062,599.9427490234375,1657.81640625,178.5442352294922,138.91197204589844,383.3706359863281
2014-02-18,143.43026733398438,233.41848754882812,384.2015686035156,170.01771545410156,237.65524291992188,641.064208984375,1822.6964111328125,181.0755615234375,141.44448852539062,394.0696105957031
2014-02-25,147.5187530517578,244.6022491455078,386.19268798828125,176.219970703125,249.18060302734375,658.001708984375,1838.817138671875,186.50389099121094,148.33993530273438,395.8614807128906
2014-03-04,159.4605712890625,239.13035583496094,414.8039855957031,197.6886749267578,272.9239807128906,724.455810546875,1960.92138671875,187.74142456054688,161.7296600341797,382.6153869628906
2014-03-11,163.12042236328125,244.89022827148438,424.47540283203125,198.73614501953125,259.4937744140625,730.9952392578125,1924.95654296875,200.2012939453125,162.8579559326172,348.9141845703125
2014-03-18,167.2166748046875,245.32220458984375,416.55810546875,206.6126708984375,269.5279541015625,735.47265625,1941.664794921875,204.11080932617188,160.52606201171875,338.7413330078125
2014-03-25,181.95938110351562,254.15394592285156,446.1886291503906,201.87026977539062,282.6118469238281,751.9389038085938,2104.5361328125,198.2324676513672,162.28128051757812,344.8877258300781
2014-04-01,184.61981201171875,252.13803100585938,447.56353759765625,199.43719482421875,273.54931640625,756.00390625,2175.681884765625,194.3791961669922,165.42140197753906,342.8719177246094
2014-04-08,188.5815887451172,247.1461944580078,449.6732177734375,200.9217529296875,278.17681884765625,764.5462646484375,2169.8017578125,191.81971740722656,162.27098083496094,339.6632995605469
2014-04-15,196.82693481445312,250.4580841064453,459.0838317871094,212.44378662109375,288.6246643066406,791.7935791015625,2156.91552734375,197.27618408203125,165.75169372558594,328.14654541015625
2014-04-22,198.3588409423828,249.5941162109375,445.78570556640625,208.1797332763672,294.0217590332031,778.5381469726562,2026.334716796875,191.45407104492188,162.6012725830078,331.13641357421875
2014-04-29,197.05743408203125,260.20184326171875,456.6660461425781,210.24163818359375,295.9170227050781,765.6067504882812,1985.07763671875,195.72921752929688,171.21405029296875,329.63104248046875
2014-05-06,218.6192169189453,284.4892883300781,503.1741027832031,231.3721923828125,317.42840576171875,829.969482421875,2171.02685546875,203.0982666015625,189.0493927001953,340.1893615722656
2014-05-13,242.6109161376953,301.5769348144531,511.30474853515625,239.0838165283203,357.0649108886719,888.5880126953125,2293.033447265625,191.98846435546875,203.20079040527344,324.93267822265625
2014-05-20,252.80592346191406,306.3287658691406,520.33935546875,238.77040100097656,355.6795349121094,922.197998046875,2218.947998046875,193.7322998046875,201.0412139892578,326.4797058105469
2014-05-27,253.8720245361328,307.0967712402344,523.6878051757812,240.54364013671875,365.4828186035156,974.130126953125,2494.8095703125,187.57269287109375,211.7881622314453,314.1346740722656
2014-06-03,257.4114990234375,327.5442810058594,534.7380981445312,244.3375701904297,372.40960693359375,1023.17529296875,2735.539306640625,193.2027587890625,224.03402709960938,323.921875
2014-06-10,256.41168212890625,310.31268310546875,521.3678588867188,246.72731018066406,353.9286193847656,992.3931884765625,2742.4970703125,192.60140991210938,225.88877868652344,342.9367370605469
2014-06-17,256.90435791015625,324.1363830566406,506.89739990234375,244.93955993652344,374.1768493652344,983.997802734375,2632.691162109375,183.495361328125,225.17735290527344,339.03448486328125
2014-06-24,258.96185302734375,341.5599365234375,482.18988037109375,244.7863311767578,373.3311462402344,1016.459228515625,2577.17626953125,186.21572875976562,214.50662231445312,340.2437438964844
2014-07-01,248.91078186035156,327.6402893066406,476.04296875,240.49569702148438,367.1099548339844,985.8831787109375,2455.267578125,192.31507873535156,202.0321044921875,352.0771179199219
2014-07-08,243.06173706054688,314.5365905761719,465.0644836425781,237.26925659179688,368.8985290527344,962.3178100585938,2470.065185546875,196.0949249267578,209.60316467285156,340.634521484375
2014-07-15,243.815185546875,326.12091064453125,493.0965881347656,252.53329467773438,392.2475280761719,974.7781372070312,2472.46630859375,201.50701904296875,207.72311401367188,341.65362548828125
2014-07-22,240.5549774169922,323.415283203125,480.8983154296875,247.13595581054688,384.64599609375,968.9751586914062,2358.25048828125,204.28465270996094,200.8379364013672,355.51995849609375
2014-07-29,238.57472229003906,332.4017333984375,470.5177917480469,252.92486572265625,381.72979736328125,877.8363647460938,2553.373291015625,203.74057006835938,205.792236328125,370.078125
