Date,SBIN.BO,TITAN.BO,RELIANCE.BO,ICICIBANK.BO,AXISBANK.BO,LT.BO,ULTRACEMCO.BO,ITC.BO,ONGC.BO,INFY.BO
2013-12-31,145.224609375,212.6829833984375,393.8966369628906,163.05667114257812,215.4126434326172,580.5308837890625,1673.005859375,182.87564086914062,138.15975952148438,385.39691162109375
2014-01-31,145.8052978515625,232.50650024414062,378.9154357910156,172.16209411621094,243.5718231201172,652.9352416992188,1802.9990234375,184.22569274902344,146.20860290527344,397.9762268066406
2014-02-28,182.60646057128906,251.9460906982422,440.6655578613281,205.44149780273438,281.0052185058594,749.7591552734375,2145.0576171875,198.54183959960938,159.82398986816406,341.5801696777344
2014-03-31,199.66983032226562,244.55422973632812,443.41522216796875,205.3342742919922,292.30926513671875,763.250244140625,1987.282470703125,191.67910766601562,165.5484161376953,330.9905090332031
2014-04-30,244.13319396972656,298.31292724609375,504.9756164550781,233.97021484375,353.2936706542969,912.5067749023438,2336.985107421875,192.10098266601562,192.19979858398438,306.43609619140625
2014-05-31,259.45452880859375,338.5360107421875,485.3949279785156,233.97850036621094,369.69659423828125,1002.4673461914062,2547.384765625,182.76312255859375,215.2942352294922,342.852294921875
2014-06-30,235.6767578125,327.4002990722656,481.2331848144531,250.79661560058594,380.9035339355469,886.1137084960938,2373.34228515625,203.99827575683594,200.8887939453125,355.446044921875
2014-07-31,237.6763458251953,350.71282958984375,478.00421142578125,265.0220031738281,386.2012939453125,899.5459594726562,2505.079833984375,203.39694213867188,221.11233520507812,379.55645751953125
2014-08-31,235.92791748046875,393.9057312011719,452.2204284667969,244.3691864013672,367.24603271484375,866.933837890625,2582.093994140625,212.33119201660156,207.87554931640625,395.7831726074219
2014-09-30,260.9759826660156,379.94293212890625,477.9803161621094,276.75311279296875,426.49334716796875,984.35302734375,2509.45703125,203.45420837402344,205.9332733154297,427.866943359375
2014-10-31,310.5166320800781,357.57342529296875,473.9859313964844,298.74249267578125,467.6116638183594,975.5792236328125,2449.1630859375,207.8927001953125,192.94326782226562,463.92498779296875
2014-11-30,301.2431640625,368.3958435058594,426.2931823730469,300.51324462890625,488.0250244140625,890.1619262695312,2627.387939453125,210.98533630371094,173.47096252441406,419.5625
2014-12-31,299.4560852050781,416.03363037109375,437.8695373535156,307.451416015625,572.2545166015625,1011.2691040039062,3088.244384765625,211.099853515625,181.3262481689453,456.07611083984375
2015-01-31,289.7479248046875,420.2852783203125,409.3113098144531,285.1896057128906,551.3064575195312,1046.036865234375,3069.949462890625,225.5320587158203,167.6280975341797,482.384033203125
2015-02-28,257.9186096191406,378.7833557128906,394.5059814453125,268.41876220703125,544.7450561523438,1022.5112915039062,2827.79248046875,186.38754272460938,158.28964233398438,471.7949523925781
2015-03-31,260.8648681640625,369.8935241699219,412.7555236816406,281.9971618652344,551.9868774414062,971.0587768554688,2622.32275390625,184.5548858642578,159.17877197265625,413.4324951171875
2015-04-30,268.68939208984375,364.77227783203125,419.5960693359375,270.12139892578125,568.9008178710938,984.6505126953125,2927.773193359375,187.13204956054688,172.42625427246094,430.4601745605469
2015-05-31,257.0673522949219,353.804931640625,484.0939025878906,262.2041931152344,543.0439453125,1060.4317626953125,2942.281005859375,180.431396484375,161.81784057617188,419.45599365234375
2015-06-30,264.5016174316406,312.93109130859375,484.674560546875,261.94671630859375,557.7221069335938,1064.4765625,3097.9326171875,190.55160522460938,142.69129943847656,465.8704528808594
2015-07-31,241.70985412597656,328.5151062011719,414.5850524902344,240.8177947998047,496.5030822753906,954.8792114257812,2850.51318359375,190.02586364746094,125.31539916992188,473.28167724609375
2015-08-31,232.07472229003906,309.45098876953125,416.37542724609375,234.0201873779297,485.57745361328125,872.4359741210938,2643.544677734375,192.1288299560547,119.93278503417969,501.47894287109375
2015-09-30,232.0258026123047,339.1657409667969,458.6419677734375,239.8652801513672,465.3920593261719,847.9769897460938,2844.685791015625,195.5169219970703,129.80992126464844,490.9346618652344
2015-10-31,244.9867706298828,371.5552062988281,468.3921203613281,237.35403442382812,459.414794921875,825.6831665039062,2768.97412109375,200.48226928710938,122.7131576538086,474.69183349609375
2015-11-30,219.50502014160156,337.22039794921875,489.97296142578125,226.39991760253906,440.45416259765625,766.553466796875,2747.27197265625,191.3694305419922,129.0240020751953,481.71343994140625
2015-12-31,176.02462768554688,353.95013427734375,500.8360290527344,199.25271606445312,399.9363098144531,662.3253173828125,2787.7666015625,186.63778686523438,120.59661865234375,508.0113525390625
2016-01-31,154.94471740722656,307.7002258300781,467.69049072265625,164.52853393554688,367.6983947753906,648.5343017578125,2729.614013671875,172.7932891845703,103.5285415649414,472.6422119140625
2016-02-29,190.06161499023438,329.5364074707031,505.77154541015625,204.83802795410156,435.6037902832031,730.8292236328125,3183.34130859375,191.63230895996094,114.54278564453125,531.1690673828125
2016-03-31,184.82830810546875,347.9212341308594,480.322021484375,204.88131713867188,462.746337890625,753.2732543945312,3119.66455078125,189.73379516601562,116.64485168457031,528.0726928710938
2016-04-30,200.38148498535156,351.64129638671875,468.7851257324219,212.32838439941406,505.2239685058594,885.9246215820312,3185.659423828125,205.38916015625,113.03145599365234,545.0812377929688
2016-05-31,213.88043212890625,396.183837890625,473.9180603027344,207.9987030029297,522.7147827148438,899.084716796875,3365.73974609375,216.23085021972656,115.7883529663086,510.5843811035156
2016-06-30,226.9964599609375,410.23187255859375,496.42974853515625,232.2888946533203,535.0612182617188,936.2210083007812,3655.6142578125,222.44285583496094,117.74222564697266,473.82073974609375
