Date,HDFC.NS,TCS.NS,KOTAKBANK.NS,BHARTIARTL.NS,NESTLEIND.NS,HDIL.NS,MARUTI.NS,ASIANPAINT.NS,HCLTECH.NS,COALINDIA.NS
2013-12-31,733.4434814453125,960.415283203125,327.24176025390625,276.1889953613281,4591.7265625,42.25,1529.2236328125,448.0759582519531,324.2373046875,140.78076171875
2014-01-31,733.4434814453125,977.0240478515625,340.91314697265625,252.1649169921875,4425.55810546875,41.79999923706055,1485.0643310546875,449.31085205078125,350.3453674316406,153.52919006347656
2014-02-28,733.4434814453125,915.8030395507812,388.99957275390625,278.6002197265625,4574.98681640625,57.599998474121094,1842.77880859375,520.5072021484375,309.241455078125,181.68670654296875
2014-03-31,733.4434814453125,939.8662109375,399.73248291015625,287.6310729980469,4338.4931640625,68.5,1797.2174072265625,479.8507080078125,311.9543151855469,183.63723754882812
2014-04-30,733.4434814453125,919.3233642578125,432.6285095214844,301.70361328125,4513.3486328125,90.69999694824219,2123.20263671875,482.177978515625,316.3131408691406,233.3769073486328
2014-05-31,733.4434814453125,1041.271728515625,440.0494079589844,295.39068603515625,4508.52392578125,100.94999694824219,2279.79345703125,564.2508544921875,334.508544921875,242.2174530029297
2014-06-30,733.4434814453125,1118.295166015625,474.9873962402344,326.955078125,4690.1533203125,92.75,2358.953125,601.8274536132812,346.7615051269531,231.3634796142578
2014-07-31,746.211669921875,1110.3299560546875,517.2129516601562,324.2370910644531,5513.4345703125,90.4000015258789,2602.367431640625,597.5672607421875,363.6302490234375,224.0644989013672
2014-08-31,746.211669921875,1204.642333984375,505.024658203125,358.55902099609375,5458.65380859375,83.6500015258789,2874.95458984375,602.6890258789062,385.33441162109375,214.7835235595703
2014-09-30,746.211669921875,1147.9669189453125,557.44140625,352.98419189453125,5731.5263671875,83.25,3132.52099609375,630.663330078125,361.4356384277344,233.15670776367188
2014-10-31,746.211669921875,1165.79150390625,599.4395751953125,338.29498291015625,5682.8408203125,83.55000305175781,3140.92138671875,714.847900390625,375.0631103515625,223.37237548828125
2014-11-30,746.211669921875,1128.409423828125,630.047119140625,312.1021423339844,5848.45166015625,68.19999694824219,3125.52783203125,722.1431884765625,360.29620361328125,241.52532958984375
2014-12-31,746.211669921875,1094.798828125,659.1092529296875,330.68487548828125,6523.75439453125,110.05000305175781,3423.597412109375,823.3660888671875,404.2586364746094,227.05331420898438
2015-01-31,746.211669921875,1176.676513671875,666.8609008789062,314.3143310546875,6439.23974609375,119.5,3383.281982421875,774.7945556640625,456.2081604003906,248.6983642578125
2015-02-28,746.211669921875,1128.7669677734375,654.6477661132812,348.02880859375,6371.78173828125,101.75,3470.530029296875,778.778076171875,444.2704772949219,228.3431854248047
2015-03-31,748.0401000976562,1088.87939453125,664.4432373046875,337.23309326171875,6028.0791015625,118.30000305175781,3497.281494140625,731.8862915039062,399.0232238769531,240.8801727294922
2015-04-30,748.0401000976562,1153.6722412109375,697.543212890625,376.61083984375,6192.2041015625,109.30000305175781,3553.4599609375,755.500244140625,460.0798034667969,259.67242431640625
2015-05-31,748.0401000976562,1127.4415283203125,690.8135375976562,371.6996765136719,5847.83642578125,92.05000305175781,3776.53076171875,725.0708618164062,418.65789794921875,279.7264404296875
2015-06-30,748.0401000976562,1119.990234375,693.7882690429688,370.5935974121094,5852.623046875,86.1500015258789,4065.730224609375,852.2561645507812,454.3900146484375,291.54632568359375
2015-07-31,760.1172485351562,1146.2244873046875,650.1895141601562,313.5179138183594,5491.74755859375,59.95000076293945,3911.55615234375,819.2393188476562,442.0088806152344,243.2706756591797
2015-08-31,760.1172485351562,1156.9532470703125,646.5977172851562,300.6354064941406,5862.0595703125,73.6500015258789,4424.49609375,812.4816284179688,449.43695068359375,217.53919982910156
2015-09-30,760.1172485351562,1115.446044921875,686.05615234375,310.60174560546875,5683.69287109375,72.6500015258789,4201.080078125,801.91064453125,398.8944396972656,212.42604064941406
2015-10-31,760.1172485351562,1068.025146484375,690.7451782226562,297.52093505859375,5394.76318359375,71.30000305175781,4301.17431640625,811.64794921875,400.8736877441406,219.4980926513672
2015-11-30,1174.0382080078125,1096.508056640625,718.3809814453125,302.9045104980469,5365.25732421875,77.9000015258789,4364.3935546875,855.2551879882812,393.5783996582031,219.00006103515625
2015-12-31,1096.2337646484375,1076.0120849609375,682.0155029296875,257.9671325683594,5066.30029296875,73.1500015258789,3867.610107421875,842.0423583984375,398.480224609375,212.4593048095703
2016-01-31,985.0311279296875,981.8619995117188,628.9388427734375,280.74725341796875,4623.18359375,61.400001525878906,3056.14697265625,819.0044555664062,377.01312255859375,206.51614379882812
2016-02-29,1027.114990234375,1136.7999267578125,679.0723266601562,312.158935546875,5314.9521484375,73.1500015258789,3509.21044921875,840.59033203125,377.40716552734375,193.86619567871094
2016-03-31,1013.8844604492188,1143.6563720703125,715.48779296875,323.5489807128906,5285.50439453125,86.0999984741211,3583.1943359375,838.5090942382812,347.83026123046875,209.2557373046875
2016-04-30,1152.90966796875,1158.9468994140625,744.8196411132812,312.6928405761719,5628.82763671875,97.19999694824219,3929.696533203125,953.31103515625,342.96258544921875,211.68936157226562
2016-05-31,1167.7208251953125,1151.59521484375,761.5806274414062,326.3965148925781,6023.01123046875,103.25,3953.8701171875,971.1702270507812,341.4071044921875,227.38087463378906
2016-06-30,1280.33837890625,1193.7117919921875,761.7302856445312,322.16973876953125,6668.69580078125,101.80000305175781,4492.48388671875,1084.22607421875,351.9234313964844,238.27767944335938
