Date,^NSEI
2017-10-03,10016.9501953125
2017-10-10,10234.4501953125
2017-10-17,10207.7001953125
2017-10-24,10335.2998046875
2017-10-31,10350.150390625
2017-11-07,10186.599609375
2017-11-14,10326.900390625
2017-11-21,10370.25
2017-11-28,10118.25
2017-12-05,10240.150390625
2017-12-12,10463.2001953125
2017-12-19,10531.5
2017-12-26,10442.2001953125
2018-01-02,10637.0
2018-01-09,10700.4501953125
2018-01-16,11083.7001953125
2018-01-23,11049.650390625
2018-01-30,10498.25
2018-02-06,10539.75
2018-02-13,10360.400390625
2018-02-20,10554.2998046875
2018-02-27,10249.25
2018-03-06,10426.849609375
2018-03-13,10124.349609375
2018-03-20,10184.150390625
2018-03-27,10245.0
2018-04-03,10402.25
2018-04-10,10548.7001953125
2018-04-17,10614.349609375
2018-04-24,10739.349609375
2018-05-01,10717.7998046875
2018-05-08,10801.849609375
2018-05-15,10536.7001953125
2018-05-22,10633.2998046875
2018-05-29,10593.150390625
2018-06-05,10842.849609375
2018-06-12,10710.4501953125
2018-06-19,10769.150390625
2018-06-26,10699.900390625
2018-07-03,10947.25
2018-07-10,11008.0498046875
2018-07-17,11134.2998046875
2018-07-24,11356.5
2018-07-31,11389.4501953125
2018-08-07,11435.099609375
2018-08-14,11570.900390625
2018-08-21,11738.5
2018-08-28,11520.2998046875
2018-09-04,11287.5
2018-09-11,11278.900390625
2018-09-18,11067.4501953125
2018-09-25,11008.2998046875
2018-10-02,10301.0498046875
2018-10-09,10584.75
2018-10-16,10146.7998046875
2018-10-23,10198.400390625
2018-10-30,10530.0
2018-11-06,10582.5
2018-11-13,10656.2001953125
2018-11-20,10685.599609375
2018-11-27,10869.5
2018-12-04,10549.150390625
2018-12-11,10908.7001953125
2018-12-18,10663.5
2018-12-25,10862.5498046875
