Date,Google,Walmart,Microsoft,Apple,Tesla,Gamestop,Amazon,Sony,Facebook,Intel
01-Feb-20,1161.949951,113.620003,157.710007,63.572498,104.800003,3.5,1949.719971,59.18,166.800003,24.782795
01-Mar-20,1346.699951,121.550003,179.210007,73.449997,156.376007,5.73,2474,64.25,204.710007,24.7122
01-Apr-20,1433.52002,124.059998,183.25,79.485001,167,4.06,2442.370117,64.760002,225.089996,25.186674
01-May-20,1418.050049,119.779999,203.509995,91.199997,215.962006,4.34,2758.820068,69.129997,227.070007,25.463451
01-Jun-20,1487.949951,129.399994,205.009995,106.260002,286.152008,4.01,3164.679932,77.959999,253.669998,23.344952
01-Jul-20,1629.530029,138.850006,225.529999,129.039993,498.320007,6.68,3450.959961,78.639999,293.200012,26.192379
01-Aug-20,1465.599976,139.910004,210.330002,115.809998,429.01001,10.2,3148.72998,76.75,261.899994,21.023352
01-Sep-20,1616.109985,138.75,202.470001,108.860001,388.040009,10.47,3036.149902,83.660004,263.109985,20.981499
01-Oct-20,1754.400024,152.789993,214.070007,119.050003,567.599976,16.559999,3168.040039,93.290001,276.970001,28.327517
01-Nov-20,1752.640015,144.149994,222.419998,132.690002,705.669983,18.84,3256.929932,101.099998,273.160004,31.058599
01-Dec-20,1827.359985,140.490005,231.960007,131.960007,793.530029,325,3206.199951,95.709999,258.329987,30.59
01-Jan-21,2075.389893,145.830002,243.770004,136.009995,849.460022,50.310001,3305,112.639999,269.450012,34.330002
