Date,HDFC ,TCS,Kotak Mahindra,Bharti Airtel,Nestle,Housing Development,Maruti,Asian Paints,HCL,Coal India
01-Nov-17,926.849976,1318.5,1000.299988,455.829651,7663.5,1675.699951,8599.099609,1146.75,424,275.799988
01-Dec-17,936.200012,1350.599976,1010.200012,486.313171,7870.899902,1710.400024,9729.549805,1158.5,445.25,262.950012
01-Jan-18,1002.849976,1556.175049,1108.949951,403.860748,7469.149902,1956.300049,9509.700195,1128.300049,493.274994,299.549988
01-Feb-18,942.099976,1517.525024,1090.550049,393.485352,7761.649902,1808.699951,8850.950195,1117.75,470.149994,309.149994
01-Mar-18,943.049988,1424.574951,1047.800049,366.077728,8203.549805,1825.599976,8861.099609,1120.400024,484.299988,283.299988
01-Apr-18,972.150024,1766.050049,1211.099976,376.039948,9396.549805,1883.25,8814.950195,1201.699951,526.375,285
01-May-18,1069.724976,1741.050049,1334.599976,343.031433,9654,1833,8537.200195,1304.650024,455.174988,296.25
01-Jun-18,1054.224976,1847.75,1342.949951,350.698242,9810.099609,1908.099976,8825.599609,1264.449951,463.125,264.350006
01-Jul-18,1089.75,1940.199951,1306.849976,358.640472,10530.40039,1994.849976,9520.549805,1451.400024,482.549988,261.100006
01-Aug-18,1030.599976,2078.399902,1287.25,352.44278,11582.25,1935.949951,9096.400391,1372.449951,523.224976,285.950012
01-Sep-18,1003.025024,2183.699951,1141.599976,310.849274,9699.650391,1754.5,7347.950195,1293.300049,543.900024,266.25
01-Oct-18,955.875,1938.150024,1119.150024,268.429443,10147.84961,1769.25,6616.399902,1230.400024,527.799988,266.149994
01-Nov-18,1064.224976,1968.25,1233.949951,287.848907,10764.84961,1989,7661.600098,1345.949951,507.5,244.899994
01-Dec-18,1060.849976,1893.050049,1256.5,286.930725,11084.84961,1968.349976,7465.5,1373.050049,482.174988,240.75
