Date,Suzlon,Godfrey Phillips,Engineers India,Maharashtra Scooters,KEI Industries,Sun Pharma,Travencore,Responsive,Heidelcore Cement,VST Industries
01-Jan-18,14.6,922.700012,177.5,2665.300049,386.799988,579.900024,63.349998,39.150002,155.899994,3249.75
01-Feb-18,12.8,873.150024,173.100006,2425.899902,387.899994,535.349976,46,46,159.350006,3176.550049
01-Mar-18,10.7,821.25,158.449997,2288.699951,385,495.100006,51,39.299999,142.399994,2935.800049
01-Apr-18,10.9,880.950012,158.850006,2444.399902,436.549988,528.400024,54.099998,84.699997,155.100006,3050.399902
01-May-18,8.75,753.299988,131.5,2589.75,482.25,480.350006,47.200001,77.349998,152.75,3176.75
01-Jun-18,7.5,726.25,124.199997,2875.550049,408.600006,564,44.400002,79.099998,138.800003,2902.5
01-Jul-18,7.8,797.200012,135.949997,3014.75,447.5,568.5,41.549999,91.25,160.199997,2712.149902
01-Aug-18,7.15,884.200012,128.25,3182.199951,418.600006,652.849976,44.049999,91.300003,165.949997,3298
01-Sep-18,5.45,751.400024,118.900002,2452.550049,359,623.25,38.75,71.5,143.949997,2799.449951
01-Oct-18,6.25,772.200012,115.699997,2308.600098,308.25,580.25,36.75,82.5,141.399994,3172.149902
01-Nov-18,5.15,926.400024,117.5,2778.5,358.799988,492.600006,36.450001,92.150002,150.800003,3190.399902
01-Dec-18,5.4,887.049988,125,3175.550049,359.200012,430.5,40.75,91.349998,151.149994,3272.850098
