Date,HDFC.NS,TCS.NS,KOTAKBANK.NS,BHARTIARTL.NS,NESTLEIND.NS,HDIL.NS,MARUTI.NS,ASIANPAINT.NS,HCLTECH.NS,COALINDIA.NS
26-02-2014,733.4434814,936.8394775,341.3613892,252.6910095,4547.739746,41.04999924,1555.205444,453.2530212,349.7005615,153.5291901
28-02-2014,733.4434814,977.0240479,340.913147,252.164917,4425.558105,41.79999924,1485.064331,449.3108521,350.3453674,153.5291901
03-03-2014,733.4434814,961.6972046,333.6665649,251.3319397,4236.69043,41.40000153,1478.708984,449.2633362,334.5796814,153.7493896
04-03-2014,733.4434814,961.9547119,337.0284119,251.9457092,4285.453613,41.45000076,1492.914917,451.7807007,329.4098511,155.5112305
05-03-2014,733.4434814,966.7845459,339.070343,247.9124908,4345.999023,42.29999924,1519.083496,450.8307495,325.1960449,158.2797852
06-03-2014,733.4434814,961.9976807,342.33255,250.6305389,4424.556641,45.29999924,1542.494751,450.7832031,331.7335815,161.7719421
07-03-2014,733.4434814,956.7385254,354.3853149,264.7030029,4467.771484,48.04999924,1621.561401,456.9101868,330.8551636,166.6169128
10-03-2014,733.4434814,919.8814697,374.7305298,267.5525818,4367.33252,49.59999847,1683.290894,460.5673828,320.4374695,162.8415985
11-03-2014,733.4434814,923.7455444,370.6465454,265.7113342,4365.786621,50.09999847,1639.411865,456.6252136,323.4394836,160.9224854
12-03-2014,733.4434814,935.6806641,370.9702759,263.1686707,4361.783203,49.75,1648.664551,469.5441284,324.7068176,163.9112854
13-03-2014,733.4434814,922.843811,380.6821594,263.8262329,4354.141602,47.34999847,1633.056519,469.0216675,324.4732971,166.8056946
14-03-2014,733.4434814,918.5506592,376.4985962,258.6531677,4329.257324,49,1624.73877,470.6839905,315.0562439,166.2708435
18-03-2014,733.4434814,911.0160522,381.155304,258.7408142,4358.87207,48.34999847,1746.001709,476.4785156,314.2113342,170.3292999
19-03-2014,733.4434814,875.5543213,379.710968,262.7740479,4385.527832,48.25,1747.450439,487.3551025,312.1098633,165.5786896
20-03-2014,733.4434814,905.0913086,372.1655579,259.0915833,4389.94043,46.5,1735.113892,489.7773132,312.9438782,163.879837
21-03-2014,733.4434814,913.1627197,370.5967102,256.4173889,4304.467773,48.90000153,1746.329102,484.5527649,317.1575623,165.5157776
24-03-2014,733.4434814,924.1532593,381.2798157,257.7325134,4295.278809,49.20000076,1762.918213,497.6617126,314.5002136,169.8574066
25-03-2014,733.4434814,921.5988159,384.815979,258.521637,4294.187988,50.5,1777.310791,498.9915466,310.7979431,172.7203217
26-03-2014,733.4434814,898.7802734,384.2681274,261.7657776,4340.631836,49.79999924,1810.395142,502.6012573,310.6646423,176.6529388
27-03-2014,733.4434814,899.1026001,384.4424744,272.4187927,4421.236328,53.90000153,1808.946655,512.0529175,308.896759,176.1810303
28-03-2014,733.4434814,902.4725342,387.4804993,278.2932434,4516.67041,54.34999847,1805.067993,512.8128052,312.5991821,180.1765747
31-03-2014,733.4434814,915.8030396,388.9995728,278.6002197,4574.986816,57.59999847,1842.778809,520.5072021,309.2414551,181.6867065
01-04-2014,733.4434814,934.4996948,380.3584595,276.4958191,4410.409668,56.20000076,1804.553955,509.7730713,315.4120483,182.7878265
02-04-2014,733.4434814,932.5894775,383.2720032,285.7021484,4426.512695,58.5,1806.750488,496.6167908,317.0241394,180.522644
03-04-2014,733.4434814,930.1207886,378.4160767,281.1867065,4444.846191,59.70000076,1812.824951,511.6254578,316.7128601,176.4956512
